line,season,episode,character
I was just going to go down to the hotel bar for a little bit.,6,4,Pam
"Thank you, Angela.",2,17,Dwight
OK.,1,2,Michael
"Margaret the land lady? Really Pam, is that what you think of me?",4,10,Michael
"Why did I talk to Jan about transferring? Well, you know... I have no future here.",2,22,Jim
"No, um. How is this not a pyramid scheme?",2,19,Jim
"Oh, you want me to be you?",2,5,Jim
"Yeah, that's right. We could do a three-day weekend. I wonder if I could, like, call in sick on the Friday. Then I get a four-day weekend.",2,14,Pam
I just wanted to say hi.,3,8,Jim
No you ahh.,7,17,Michael
"Oh, man, am I a woman?",1,2,Dwight
"Okay, but we are leaving at five minutes apart.",6,16,Jim
"So, all the numbers adding up?",9,21,Dwight
Thank you Ravi. Thank you so much. This is great for me and for Drake. Thank you.,9,23,Ryan
"Michael, I know you're swamped. I just thought you should know that everyone in the office has left, except for Angela and I. Do not worry though, I have taken down their names, and I have docked them a personal day.",4,13,Dwight
Does your stupid husband have it?,7,4,Michael
"Ah, definitely blue.",9,21,Jim
"Nope. Um... for the guests it is. For you, consider it cow-meat. Strictly taboo.",3,8,Michael
"Dwight, I'm the boss.",4,11,Michael
"I know, I know. It's good. It is not over. It is not over til it's over.",2,2,Michael
"Please, Kevin. You're fired.  Sorry, sorry. Work with a bunch of idiots. Shall we go?",6,8,Michael
All the alarm bells are kind of going... ringie-dingie-ding!,1,1,Michael
Let me tell you something. I was never gonna make that sale.,6,7,Andy
"My mother, Helene.",6,22,Pam
"The bigger the key chain, the more powerful the man.",7,1,Dwight
"Hey, Abby! Do you want to help me shred some old documents? It's actually pretty cool.",2,18,Pam
Thank you very much.,5,19,Michael
"He made non-refundable deposits on his honeymoons, so he's just knocking them off one at a time. I think today he's hot air ballooning and later he's got a couple's massage.",5,16,Oscar
"Wait, they have food there?",8,5,Phyllis
Yep.,5,18,Jim
Bildenkinder.,9,4,Dwight
"Whoa, whoa, whoa, whoa, what are you doing?",4,3,Michael
"You don't. No, no.",6,23,Michael
"Oscar, Toby, and I are founding members of the Finer Things Club. We meet once a month to discuss books and art, celebrate culture in a very civilized way. Sometimes the debate can get heated, but we're always respectful. There is no paper, no plastic, and no work talk allowed. It's very exclusive.",4,6,Pam
"Well, because I want to know who wrote those diseases down.",1,3,Dwight
Please don’t teach the cat French.,9,1,Angela
"Sorry, Stinky, can’t do it. Too busy.",9,11,Jim
So how was your date?,5,1,Oscar
We'll find him.,5,20,Pam
It's fair.,4,1,Oscar
"Sum it up Darryl, sum it up.",3,19,Michael
Yes. Or come in.,4,1,Pam
It's so edgy!,6,12,Erin
It does not say dangerous. And there's no exclamation point.,9,20,Darryl
Yeah. Whoa. Here's one with his face whited out.,8,20,Jim
"What an awesome party. The best wedding I've ever been too. I got six numbers. One more would have been a complete telephone number. This was epic. My Kleenex shoes were a huge conversation piece, but man my dogs are barking.  Whoo. My feet were so sweaty I can't even feel the cold. What a lovely hotel.",6,4,Kevin
Good times.,8,1,Darryl
"Val, I need the space.",8,13,Andy
"It's good to be paranoid. People need to be more paranoid. Case in point, JFK. If I had been JFK, I would have seen all three gunmen. I would have pulled out my concealed Luger and fired first. Man in book depository, BOOM! Grassy knoll, BOOM! Fake Jackie, BOOM!  Then I shoot myself, so I don't change history and create a paradox. BOOM! But right at the last minute, I twist out of the way of the bullet. Nice try, history. Better luck next year.",5,6,Dwight
Where is this from? That is so upsetting!,8,5,Oscar
So the monkey does the sex thing right here!,2,2,Dwight
I'm sure it's fine. it's a blue shirt.,9,9,Pam
Productivity? My numbers are good.,4,12,Jim
Who's it?,4,3,Darryl
"Look, I heard about the office. Tough break.",3,7,Darryl
So you effectively spent what...four dollars on the entire office?,8,13,Andy
...Erin...,8,14,Andy
With fury...,9,4,Andy
The fridge.,7,14,Pam
I got gum in my hair.,4,11,Michael
"You know what? Why don't I do it, okay? Michael adores me. I'm the man for this job. Charles, you got my back on this?",5,23,Dwight
You have a cell phone charger.,5,1,Jim
Ew.,9,3,Angela
"Oh, yes Stanley. Come on. Your turn, you have to go.",3,4,Michael
"Okay, Ready?",5,5,Michael
"No, no, please. Please do not do this.",5,9,Oscar
Yeah... yep.,5,13,Jim
Maybe.,2,3,Michael
"Okay, but I don't want to be put on a mailing list.",1,4,Angela
Visual aids.,3,19,Dwight
I will grab you here anyway.,7,15,Michael
"Sorry, I don't have time for this right now. I'm trying to get a date with Pam's hot friend. And she needs to meet me right now.",4,10,Michael
I need to make a sales call. Please?,2,14,Dwight
"Hi Pam, is Jim there?",6,5,Kevin
Maybe. Only maybe.,7,13,Andy
"Iris, thank you so much for having me.",9,6,Dwight
Come on. We're doing this thing! Let's get up.,3,8,Michael
"Wait, um, does anyone remember when it was set up?",7,9,Pam
You showed great leadership potential at the coal walk. Even if you did follow it with that embarrassing personal confession.,3,23,Dwight
"Yeah, Happy Valentine's Day.",2,16,Michael
"Now that I think about it, Angela and Andy might actually make a good couple. But I couldn't do that to Dwight... or Angela... or Andy.",4,4,Pam
"He means his mopey place, it's under that streetlamp that he thinks was in Casablanca.",6,18,Pam
"Yes. Yes, sorry too late. I'm here. This is mine. Back off.",8,19,Dwight
"Okay, uh why don't you just lay off, lady?",4,3,Andy
"Andrew Baines Bernard. I love filling these out. Because it’s like taking a test, but I know the answers.",8,9,Andy
"I am not a mind reader, David.",5,13,Michael
I don't think we need opposed.,6,18,Jim
"No, no you're wrong about this.",7,10,Michael
They sound great.,4,11,Michael
You wrote down... I didn't give you permission to.. I didn't...,1,3,Dwight
"Hope you brought your appetitos. My lady. My tuna. A little movie popcorn. Uh, damn it. This movie, a lot of buzz. Not coming out for another six months. Mrs. Albert Hannaday. So, friendship with the Nard-dog has its privileges.",5,13,Andy
"Hello son. If you're watching this, that means I'm already dead. Life is a road---",3,14,Michael
"Sure thing, buddy.",3,8,Andy
"Oh my God, something's happening.",7,20,Michael
Are you kidding me with this? On the day that I bring in breakfast?,5,18,Michael
I'm not here to be given anything. I'm here to take what is mine.,8,11,Dwight
Don't say cow- Ugh.,8,6,Dwight
That goes directly to the tester.,2,20,Dwight
"Okay, you need to think about it before you come with the...",9,10,Jim
You're insane.,9,2,Dwight
That is a serious offense. Very serious. As is toying with a man's heart.,2,8,Michael
Please. It was easy once I decided I wanted the dog to piss on Gabe.,7,14,Angela
It's really good. It's a classic. I think you might win the whole thing with that.,7,6,Ryan
Whoa Whoa Whoa! Isn't the president evil?,7,16,Andy
"Here we are, the Irrigation Room! A very special room. So I'll come get you before the table-making demonstration. And as of this morning, we are completely wireless here in Schrute Farms. But as soon as I find out where Mose hid all the wires, we'll get that power back on. All righty.",4,4,Dwight
"Dwight, anything?",8,2,Andy
"Thank, Michael.",5,24,Pam
None of your business. I'm writing something.,2,16,Dwight
"No, no, no, no. Solamente en espanol, por favor.",6,21,Michael
You will find love.,7,21,Michael
Right.,6,3,Jim
"Guys, you don't understand, this boat's been in our family since before I was born.",9,6,Andy
I actually might not go. Feeling kind of tired.,3,6,Pam
I am already walking.,5,11,Michael
"Okay, you know what? Your enthusiasm's turning people off.",3,22,Michael
Hi. How are ya? Good to see you.,9,12,Jim
"Michael, this isn't a toast. You're just thinking out loud.",6,14,Phyllis
"Alright, there you go.",7,22,Jim
Well... that's not gonna hold up in court.,3,20,Jim
I'll come with you.,8,8,Darryl
"Well, I tried to put all the birthdays together at once.",4,7,Jim
"I'm supposed to turn the lock when I leave, it's part of my job.",4,11,Pam
"Oh, this Man In Black thing, what do you think that was about?",8,5,Jim
"Alas, after much consideration and deliberation...",5,11,Dwight
"The capital of Maine is Montpelier, Vermont, which is near Ithaca, New York, where I went to Cornell.",3,23,Andy
"Howard, slash Ryan, Ryan Howard is sitting in my office. And he has been a temp here for a couple of months and he's kind of gotten the lay of the land a little bit. Had a few laughs along the way. And now he wants to know what I think.",2,4,Michael
What the heck was that?,6,7,Andy
We need more food. I'll go get some subs and sodas.,7,7,Pam
"Well, if you have a question, you should ask me.",2,17,Michael
Tell them what happened last year.,5,26,Pam
Okay that's-,6,5,Dwight
"Real entertainers, like Billy Joel.",7,4,Michael
She already has a stroller.,5,3,Michael
"No, it's 435.",6,16,Phyllis
"Stanley! Wake up! You’ve got to wake up, the hotel's on fire!",8,15,Dwight
And impressions!,7,20,Jim
Yes! Can anyone do those?,6,16,Andy
Don't leave a -,3,21,Pam
Why would I put a banana in my holster?,7,23,Dwight
"I just keep getting bored. And I let things build up and build up and then I - I, I do something too big, like this. Who does this?",5,20,Pam
"Kelly, Ryan looks great. You should be thankful that you...",3,19,Michael
Kevin! Kevin! Kevin!,9,11,Angela
We kinda nailed it.,7,12,Andy
"Dwight and I are both writing letters to our clients. I'm just sending a quick note to say how much I appreciate their business, and he is writing notarized letters to inform them them that lying on customer reviews is a prosecutable form of fraud and defamation. It's just... different styles.",5,6,Jim
Welcome to our humble abode. Follow me to your desk. Your ball and chain is right over here.,3,8,Michael
OF course not. There’s no magic button. You have to summon that.,8,2,Andy
Where he will then leave me to either die or to survive. The choice is yours.,4,7,Michael
You don’t have any-- Any questions about the old days? You at least want to know why they call me Boner Champ?HCT Member #2 I thought Broccoli Rob was the Boner Champ.,9,5,Andy
Yeah.,5,22,Michael
"No, stop! Just don't.",7,15,Angela
"No, no, no.",5,8,Michael
That's funny.,6,8,Michael
"No, don't be.",2,16,Jim
"A-wimowheh, a-wimowheh, a-wimowheh, a-wimowheh, a-wimowheh, a-wimowheh, a-wimowheh, a-wimowheh...",3,20,Jim
It was insane!,3,18,Oscar
Ready?,4,12,Dwight
I don't care. Guess how much I care on a scale of one to ten.,9,9,Dwight
Not at all. It should be Dwight.,9,21,Jim
"You making this up as you go along, aren't you?",2,6,Jim
"No, no - this is a representation of how we feel. And how we feel is really sorry.",6,18,Jim
Get out of the way!,5,13,Andy
"Behold! Jesus Christ. And I bring to you glad Christmas tidings. I want to remind everyone the true meaning of Christmas. Those of you who wish to join me, that's great. I'm excited by that. And those of you who don't, I forgive you. But I never forget.",6,12,Michael
"There are a bunch of construction workers in the warehouse without their trousers, drinking diet sodas. You have got to see this. They’re extraordinary.",9,8,Dwight
...from the 1930's...,2,18,Dwight
Ok.,2,12,Michael
"Kevin! Now it's seven-six, or is that too much accounting for you?",5,26,Angela
"No, no, no, no. You know what, I better hold off. I wanna make sure I don't dial Carol before I get drunk.",3,10,Michael
To the shame room!,8,12,Jim
You get me.,5,2,Michael
"This is an amazing prize. I mean, I don't even want to give Pam a compliment, because she's so blegh, but she did a good job. I really want that coupon book.",7,6,Angela
Um... “A”... “X”? I don’t -- you got me.,9,7,Pam
David Wallace hasn't worked here in years.,8,24,Oscar
That's interesting. So you also think my computer is crappy.,7,17,Andy
"Well, it’s been great.",9,22,Darryl
"Because, Dwight... never lies.",3,3,Michael
"Hey, Ryan. How's it going?",6,10,Jim
Dizzy Gillespie.,5,5,Pam
Oh heyyy. Martiiin. You have TV in the joint?,3,9,Michael
"Yay, Grandma!",6,8,Pam
"I'm not frustrated. Even if I were in Scranton, Jim and I would have days like this. We're just... a little out of sync. You know, that's all. Oh, great. I washed my lipstick.",5,3,Pam
Bye.,9,13,Pam
"Okay, see you guys. Hey, how you doin'?",4,4,Michael
Who's the father?,6,1,Dwight
I've decided to show her around. She really wants to meet everybody.,2,2,Pam
"Hello, Pam.",4,3,Angela
"You just don't think I am capable, of making a difference.",4,1,Michael
I'm just having a little exit interview.,4,14,Michael
"Jim, he's not gonna star-",8,3,Oscar
No holding.,2,6,Dwight
"Michael, that's absurd. What if two couples want to go at the same time?",7,15,Dwight
I understand.,2,20,Angela
Tuna!,4,2,Andy
Don't lose your head.,6,13,Dwight
"Okay, look, I know there have been a lot of rumors flying around about the Dundies this year. How there is no money, and how there is no food, and how the jokes are really bad, but WHAT THE HELL EVERYBODY!? I mean, God. The Dundies are about the best, in every, one of us. Can't you see that? I mean, okay, we can do better. so, tonight, for the first time, we are inviting all of your friends and family to attend the awards with us.",2,1,Michael
Chocolates? Someone famous?,4,3,Angela
You talking about hunting? I love hunting. I'm a master hunter.,8,15,Dwight
"A ceremonial bridal kidnapping. He will take the bride and hide her at a local pub and when I find the place, I have to buy everyone drinks. Ah, all right! Oh Mose.",9,23,Dwight
"We are giving money that has been gambled. Why don't we just deal drugs or prostitute ourselves, and donate that money to charity?",2,22,Angela
"Let's three-way this little issue, and come to a solution by the time we get to Schrute Farms, how's that for a plan?",5,9,Andy
"Yeah, okay. Call the school, cancel. I can't go through with this.",6,11,Michael
So um... I think I'm gonna go back with Darryl Okay. Goodbye.,5,5,Michael
"Okay guys, not every glance means something, alright? Life isn't Downton Abbey.",8,22,Jim
Did you see Saw?,6,15,Ryan
Well.,6,5,Michael
Opus dei.Male church member Hi. Good morning.,7,7,Dwight
With us?,1,6,Michael
"Here we go! So, DeAngelo! You and I have a lot in common. You lost two hundred pounds, and I lose my car keys every morning.De",7,20,Michael
"Phyllis, Phyllis.",5,20,Oscar
Not even close. Mr. Romanko has been a client for 20 years. He came in today in a rage. Why? Because of Darryl. Because Darryl was focusing on outside projects and needs to remember his first priority-- the client. Mr.,9,12,Dwight
Why can't I be in the club?,4,6,Andy
I... like your hair. I don't know if I told you.,4,2,Oscar
I'm glad you told me.,4,14,Michael
Forget the question...,6,15,Michael
Why is your face gold?,7,16,Pam
"We're not laughing at you, Dwight.",2,1,Pam
"Yeah, you're right about the difference between a man and a woman, but not about the punch line to the joke, right? The difference between a salesman and a saleswoman... is boobs!",2,17,Michael
You're the tutorial.,9,4,Darryl
Pam... I think Robert is gay.,7,24,Oscar
"No, I mean, it feels... pressure.",6,16,Pam
I did not love the dialogue. Or the character. I took the role to impress a receptionist who will remain nameless.,7,16,Jim
"Very good. Pam, please take a note that Andy is patriotic.",3,22,Michael
"OK, ahh, turn around, and do a broad jump for me on go. Ready... Go! One Mississ... OK, you went that far on one Mississ. Ippi would take you to here. This trajectory times the propulsion from your quadriceps would be about three Mississippi, maybe three and a quarter. So one Mississ... correct... ippi, two Mississippi, three Mississippi... e. Right here.",3,19,Dwight
I got it from NewYorkTimes.com,7,10,Michael
"In an ideal world, I would have all ten fingers on my left hand, so my right hand could just be a fist for punching.",6,11,Dwight
"Really? Well, maybe you should look in the smart part of your brain.",4,4,Andy
Yes! As your representative?,2,3,Dwight
OK. Good night Ryan.,4,11,Dwight
"Well, Bob was going to just drive me.",3,22,Phyllis
Ferris Bueller.,9,16,Jim
Tickets are 250 bucks.,8,22,Jim
"No, Jan! Please do not listen to this boob! Remember Clark. He gave you everything. Everything.",9,15,Dwight
"Yes. Listen, you are spending way too much time talking to me, when you could be talking to her.",1,6,Jim
We did it. Youth task force forever.,9,12,Erin
"Good, stand up. You will be thin. You Won't drool over pizza like an animal anymore.",7,21,Michael
Because you’re sitting?,8,9,Jim
Yeah …prank,8,5,Kevin
We're no more a team than the people staying in the same hotel are a team.,7,13,Dwight
"Hey, listen. I know that I'm an adult, but maybe I could come by sometime for a teeth cleaning. You know, just for fun.",6,16,Dwight
Let's start meeting-- Hello. How are you?,5,10,Michael
I'm just glad we're gonna try it out.,7,6,Darryl
"Well, the way you said it made it sound like he was dead.",8,18,Angela
"Meredith, why don't you tell Holly... it's not what she thinks. Nothing unethical happened... and that you just like to sleep around.",5,2,Michael
"Yeah, let's just cancel this, okay?Police Officer 1 Sir, did you recently return from a trip to Central America?",5,8,Michael
"Come on Phyllis, you can do it. Ahh...",3,22,Oscar
"I love the people here. And if there was one thing I di... don't really care for is that they can be terribly, terribly ignorant about other cultures. And I don't want them embarrassing me in front of my girlfriend, Carol.",3,6,Michael
"Oink the pigs, that is very important.",9,22,Dwight
"I don't wear a Speedo, Michael.",3,22,Oscar
"Come on, let's go. Creed, Kevin, Oscar... andale! Let's go.",2,21,Dwight
This has to do--,6,3,Dwight
Quick question.,6,8,Ryan
"Gooood morning, Vietnaaaam! I am not Dwight Schrute. Not at all. I am Michael Scott, his mentor and boss. And until Dwight comes up, if he ever does, I wanted to say a few words about excellence. What makes a work environment excellent? Well, there are many things, I believe, that do such a thing of that nature. And one would be humor. What is the difference between a salesman and a saleswoman?",2,17,Michael
"Okay, Ryan's the temp. What does he do at night?",7,15,Andy
"So Santa, what can we expect from this party?",6,12,Pam
No. There's no one else.,3,7,Michael
"I'm not attracted to you. I just, I cringe when you talk. I have to be honest. Right, right Pam? Thank you for hearing me.",7,20,Erin
I was probably going to break up with her anyway.,6,6,Michael
"Oh my God, she told you?",3,13,Dwight
"Guys! Listen up! Michael is up on the roof, and acting strange!",3,19,Dwight
"What, seriously? What is she saying?",4,8,Jim
"Oh, Michael, thank you. Thank you.",5,24,Pam
Jim couldn’t land me in a thousand years.,8,23,Dwight
Which thing?,9,22,Phyllis
Hmm.,2,5,Pam
Motel 6? Best Western?,2,22,Dwight
OK. This is crazy. You can't make a dirt ball.,9,17,Jim
That is neat.,7,12,Michael
Oh!,5,23,Jim
"Football is like rock and roll, it's just bam-bam-boo... And basketball is like jazz, you know? You're kind of... Dupee-doo, dupee-do. It's all downbeat, it's in the pocket, it's like... Dupee-do, dupee-do, dapee-dah...",1,5,Michael
"No, it's more of a underwear garment that has little spikes like made of, sometimes they are made of metal. You know what I am talking about. You unlock a little door that... down... where you, where you put, where you put the...",5,2,Michael
"That is my new maintenance worker, Nate. And you'll be happy to know that he's taking care of that hornet's nest that you've been griping about.",7,4,Dwight
"""My mom thinks you're too dumb to hang out with.""",7,13,Jim
We're not high.,9,20,Pam
Describe it.,8,16,Dwight
"Andy, Pam, and Jim are all telling me how to deal with this girl that I like, Lynn. I, I don't like getting advice from more than one person at a time. I'm a textbook over-thinker.",5,17,Kevin
"Yeah, that's cause I'm... you're boyfriend, Jim Halpert. Hey, Karen, wanna get t-together later and have sexual intercourse cause you're my girlfriend?",3,20,Dwight
Thank you for being so brave with all of this. Thank you.,3,2,Michael
So... how 'bout let's not?,9,15,Jim
You are the future!,2,18,Dwight
oooh,8,19,Kevin
Your shirt is buttoned wrong.,3,6,Pam
Nothing for me?,2,16,Angela
"All right, everybody stretch out a little bit. Stretch it. Full stretch. Ryan, you wanna stretch?",1,5,Michael
Brangelina is the Brad Pitt and Angelina... Roy...,2,15,Michael
"Why don't you find it and tell people to get theirs... never mind, I'll tell them. Hello, everybody? Yeah, uh, attention, please. Jan Levinson's coming, very soon, and so, we're going to have our weekly suggestion box meeting, so you can all get your constructive compliments in a.s.a.p.",2,8,Michael
Do you love her?,1,6,Dwight
How tragic. Very sorry to hear that.,7,9,Angela
That got a big laugh.,7,20,Michael
Forget it.,5,22,Jim
"No--- my--- OK, this is insane. You can get out of here. Get out!",3,20,Michael
"Either he goes, or I go.",2,21,Dwight
It's not the greatest one either...,8,3,Dwight
"I'd hang on to it though, cause I can think of a bunch. Like a 70's theme party, or a 70's theme meeting, or a 70's theme convention...",8,2,Jim
"I will quit. As God as my witness, I will quit if this is not fixed.",4,10,Kevin
Just drive away. Just..,9,4,Phyllis
I think we've got ourselves an answer.,8,9,Andy
"I'm asking Pam to do it, please.",3,20,Michael
"No, no...",6,22,Michael
You didn’t let me finish. That’s not fair.,9,22,Andy
"Yes, absolutely David. Get that for you. I umm...",2,16,Michael
"Yeah, we all need a drink. What the…there’s only dandelion tea and raisins in here.",9,23,Kevin
"I promise you, that door locks!",7,2,Dwight
"Um, yeah, she's not always like that. It's um...",8,10,Andy
Not my problem. Here is a list of things that Michael would like to be surprised by.,2,19,Dwight
Ready! “I’m not as think as you drunk I am!”,8,2,Pam
"Okay, you know-all right, just forget it then.",7,5,Michael
"Ok. Ok, why don't we just step into my office? We're gonna go in here.",2,8,Michael
No big deal.,9,14,Jim
"Oh, I can't beat Darryl.",4,8,Jim
"Why not, dawg?",5,1,Andy
"You know, Gabe? You could have gone with garbage disposal, incinerator or eraser, and instead you chose toilet. God bless you. You're an American classic.",8,11,Dwight
"You know what I really want? Honestly Michael, is for you to know it, so you can communicate to the people here, to your clients, to whomever.",4,4,Ryan
"I got your sausage, egg and cheese biscuit.",2,3,Ryan
"God, this is so disgusting.",6,22,Michael
"Andy, don’t go in there!",8,1,Erin
You know what? I'm actually going to have to call you back. Thank you. Sorry about that.,1,2,Jim
That was... unauthorized.,1,3,Dwight
You drove over that. Go back,5,12,Dwight
"Shut it. No, it's not. Okay, just give it a shot.",2,10,Michael
"I'm sorry Pam, allow me to write you an apology letter.",7,10,Dwight
"Hi, Robert? Can you come out here please it’s really important. Just wanted to clarify something. Some people here are under the misconception that some people may be considered, uh, let’s say top-tier and others would be second-tier.",8,1,Andy
Well. Anyone employed by the Gettysburg Industrial Complex is certainly going to want to keep quiet about the Battle of Schrute Farms.,8,8,Dwight
We don’t get it.,8,2,Oscar
I have already put down the deposit. Do you understand how a deposit works?,2,22,Michael
"Ok I want you to be Darryl and ask me for a raise, because I want to try out some of these negotiation tactics on you.",3,18,Michael
… bad.,9,17,Pam
"Customer service, this is Kelly. Oh my God, I am so sorry, that is so messed up. Everyone here is so upset, you have no idea. I'll be thinking about you all day. Customer service, this is Kelly. Oh my God, I am so sorry, that is so messed up. Everyone here is so upset, you have no idea. I'll be thinking about you all day. Customer service, this is Kelly. Oh my God, I am so sorry, that is so messed up. Everyone here is so upset, you have no idea. I'll be thinking about you all day.",3,20,Ryan
What we normally do here is more of a question and answer thing.,3,16,Ryan
"Bears sad, worms happy. Come on, Erin.",7,12,Michael
Hold your breath.,4,12,Dwight
"Come on, coward! Where are you? Where... ""From the desk of Andrew Bernard."" A note. Pathetic. ""Dear Dwight, by now you have received my note. How are you? I am well. You are no doubt wondering why I have left this note. It has come to my attention that in any physical match with you, I would surely be bested."" True. ""The soft underbelly of my refined upbringing is my soft underbelly...""",5,11,Dwight
"Mr. Kosseli. Hey hey hey, the Cos. What's going on? Do we have a deal? Deal or no deal? Let's make a deal. So what is the deal?",3,5,Michael
"When I worked in the warehouse, I was part of that lotto pool. They won … playing my birthday.",8,3,Darryl
"Yes, yes! Okay!",3,8,Michael
"Assistant to the Sensei, that's pretty cool.",2,6,Jim
"Dum, dum, dum, dum... coming home from work.M ichael Excuse me, Mr. Wallace? David Wallace?",3,7,Dwight
For two hours? Really?,9,15,Andy
"That's sweet Mike. Let's see here. There's a chapter, called Gum. With one sentence. Everybody likes the guy who offers him a stick of gum.",7,21,Darryl
"Last week I finally became permanent manager of Dunder Mifflin Scranton. My first project increase security. I got these doors from a jewelry store that had recently gone out of business. Now they’re protecting America’s real treasure, paper. Every morning I email the day’s security codes. Something that’s been really missing from my life has been writing secret codes. It’s not the KGB, but it’s a start.",9,22,Dwight
Were you painting in the dark?,7,2,Pam
Michael Scarn takes out a nine-millimeter gun and shoots the-,2,7,Jim
"I know. We're pretty excited, too.",6,4,Jim
All of them.,6,14,Michael
And his favorite lunch.,2,19,Pam
We are. Dwight and I are going to the big thing. So why don't you have everybody work on their expense reports and I'd like them in by the end of the day.,2,3,Michael
Eiffel Tower.,8,21,Dwight
"Yes. Welcome back, buddy.",9,15,Erin
"No, it's for me, bimbo. Kids.",3,23,Michael
"All right. All right, everybody, we're leaving. Jan and Astrid are leaving.",5,3,Michael
I hate myself.,8,8,Darryl
Jim! Jim! Right here! Ow! God! Hold it!,1,5,Michael
"Ladies and gentlemen, it is my privilege and honor to present for the first time in her life and in the office Assst...",5,3,Michael
Yeah....baby.,8,12,Dwight
Green walls.,3,11,Jim
Loyalty.,9,12,Darryl
"Pam, are you really gonna listen to his stupid homemade test?",8,7,Jim
"Well a giant check costs about $200.00 to make up. I have a print shop standing by but... What do you think Michael, that's over 25% of our funds?",4,1,Pam
"Ahoy, matey.",5,3,Michael
"Hey! Okay, okay, okay,  You can just close that.",4,1,Michael
"Look, I hate to be ""that"" person but I just don't like the general spirit of music.",5,25,Angela
"I'm serious, take it down or else.",7,10,Pam
"But, Kevin that's...",9,17,Pam
Where were you yesterday after work?,2,20,Dwight
What's next?,5,13,Dwight
"Baby, don't hurt me.",3,8,Andy
"Shhh, I'm just trying to figure out what's going on in that room, okay?",6,2,Michael
Ok?,5,1,Michael
Pop quiz.,3,16,Michael
"The more I hear about all this a capella drama, the more I think it’s kind of pathetic. But when you’re with someone, you put up with the stuff that makes you lose respect for them, and that is love.",9,5,Erin
W---Wow. Um. Well... okay.,5,7,Jim
"I’m sorry, we're taking work time to move someone's personal belongings into their new apartment.",8,20,Jim
"Keys, keys...",8,4,Jim
"This is gonna be awesome. This is gonna be awesome. I've decided that on my drives to Nashua, I am going to learn French, the language of love. And on my drives back, I am going to learn Spanish; what the cleaning crew speaks.",5,5,Michael
"No, this is my quest.",4,2,Michael
"All right, let's run it back.",4,8,Jim
"That's over several months, Ryan.",1,6,Michael
"No, no, no. No, no, not until you give me an adjective.",2,22,Michael
I'm gonna make a bigger leap here. He is into you.,5,6,Jim
Oh! No. I feel like I could lift a car.,6,17,Erin
"I told you! You're an exec at Stark Industries, a corporation you inherited from your father-",7,5,Dwight
Really? Power gel?,4,3,Jim
Yeah.,3,23,Michael
I'm not asking what you do in there. I just want to know what's written about Michael.,2,1,Dwight
Did you bring us anything from Nashua?,7,11,Kevin
"See that? Mission accomplished. Like a bunch of fourth graders. Sometimes, what brings the kids together is hating the lunch lady. Although that'll change. Because, by the end of the fourth grade, the lunch lady was actually the person I hung out with the most. Jell-o!",3,8,Michael
I was just getting a snack.,3,10,Phyllis
Wow. Things are really picking up.O',6,10,Michael
So some of us ended up adopting those elderly dogs. It's been great!,8,22,Erin
"Michael, you know you don't have to turn us all in. All you need is one scapegoat.",6,24,Darryl
Nnnngah!,5,2,Michael
"Okay. Well, have a good trip. Good luck, Andy.",9,21,Angela
I almost lost it. That was too good.,2,8,Pam
"This is great. Got to confess, we came a little early, so we got a quick look around, but, uh -",6,14,Jim
No seafood.,3,7,Angela
"Ok. Ok. Hey. What I think Jim is trying to say is that... they had an accident and you know what? These two people, they're living together, they're having lots of consentual sex--",6,4,Michael
Addition by subtraction.,3,13,Andy
"Hello, this is Michael Scott, regional manager.",5,6,Michael
Do you agree about what? Wow. You're lucky you're so darn cute. Other waitress What're you talking about?,3,10,Michael
I am going to begin this process with a simple test of intelligence and mental dexterity. What is the best color?,3,23,Dwight
Isn't that your money?,4,1,Andy
"Okay, we're never technically... um is there.. Is there a problem?",3,10,Ryan
"Argh, why are you all...",5,12,Michael
"Michael is going to get us all fired. You sat back and let him play that dumb movie, and now Jan is peeved off and we're all going to lose our jobs.",3,3,Angela
"Yes, nice. Good word association",8,16,Jim
...kind of Maybe you could tie it around your waist or lose the shirt underneath or something.,5,14,Michael
I'll just leave that suit in your office then.,6,7,Jim
"I wonder if she's, like, a... a guidance counselor, or something?",3,20,Andy
"Uh, glasses wearers. Cholera survivors. Geniuses. Non-organic family farmers. The list goes on and on. You want me to keep going?",6,21,Dwight
Five movies. Go ahead.,2,4,Jim
Phyllis by a nose. Gold medal in Flernenton.,2,3,Jim
It's Lejon Brames.,8,9,Darryl
What's what?,3,18,Jim
Well the number three is not such a giant feast.,7,14,Michael
You mean me?,9,3,Pam
"Oh, wow. I forgot how pretty your house is.",8,6,Pam
"Yes, I put Michael in my wedding. It was the only way I could think to get six weeks off for my honeymoon. No one else has ever gotten six weeks before.",3,15,Phyllis
To look good for Val!,8,9,Darryl
This was no act of God. A person did this. A person who works in this office. Maybe all of them.,2,14,Michael
Do you think? Or do you know?,2,13,Dwight
Do we have one?,2,10,Kevin
"Not really, my fiance is out of town.",2,16,Kevin
Okay. Just gotta...,6,17,Jim
Why'd you say dollars?,5,9,Oscar
Clean up on aisle five. [,7,16,Michael
So what do we know about her?,4,14,Dwight
Yes? What is the meaning of this?Michael Can you tell us why you are shutting down Scranton and putting 15 people out of work?,3,7,Dwight
Thank you.,3,16,Pam
The last…,9,23,Jim
Anybody?,3,19,Darryl
And I am always busy.,4,7,Jim
So now you're writing two things?,2,16,Jim
